Junction,MAE,RMSE,R2,Model_Type
1,9.585124015808105,12.863046646118164,0.759503960609436,XGBoost
2,3.017009735107422,3.8529245853424072,0.8216745853424072,XGBoost
3,5.858938694000244,9.171412467956543,0.06904667615890503,XGBoost
4,2.2891650199890137,3.3758225440979004,0.24499857425689697,XGBoost
